ID,post_title,post_content,post_type,post_status,STREET_SUBURB,CONTACT,EMAIL,WEBSITE
1,Rumbalara HCP - Southern Riverina Murray and Southern Orana Far West,"Rumbalara has been providing home care packages to the Indigenous Community for over 20 years: our focus is enhancing our Clients lives and ensuring that we continue to meet their Cultural needs, ew have two offices Shepparton and Swan Hill and we work with Clients across both NSW and Vic. we have a dedicated mix of indigenous and non indigenous staff and we have great partnerships with health providers, indigenous cooperatives and the department",gd_place,publish,SHEPPARTON,6.1035E+11,wayne.harris@raclimited.com.au,
2,Australian Croatian Community Services (Southern Region),"At Australian Croatian Community Services we have qualified and experienced staff to help you or your loved one remain safe and well at home. We are experienced at supporting people with dementia, disabilities and specialised needs. All our services are provided with care, sensitivity and respect.

Our staff are bi-lingual and are able to meet the language and cultural needs of our specialised cultures Croatian and Bosnian and to the broader and other migrant communities.

Getting the right help at the right time is very important to us. Please contact us regarding your needs.",gd_place,publish,DANDENONG,6.10397E+11,visnjam@accs.asn.au,https://www.accs.asn.au
3,Australian Multicultural Community Services - Home Care Packages  – Northern Metropolitan,"AMCS Home Care Packages offer a range of services for seniors that provide you with the support to continue living independently in your home. 
Our Home Care Packages are flexible, coordinated and tailored to meet your specific needs. They include services like help around the house, assistance with personal care and grooming, transport, meal provision, social support, companionship and other important services. This means someone may help you with chores, or take you out to do some shopping, perhaps clean that hard to reach part of your shower, help you with some gardening and so much more.
We do not believe that one size fits all. That is why you are in control, our staff will work with you to customise the services to meet your specific needs and circumstances. 
We have over 120 friendly, bilingual staff who are ready to provide you with support. Our 35 years of working with seniors from multicultural communities mean that we are best placed to understand your cultural needs.",gd_place,publish,MAIDSTONE,6.10397E+11,referrals@amcservices.org.au,http://www.amcservices.org.au/home-care-packages/
4,Ballan District Health And Care,"Get a FREE CONSULTATION AT HOME to discuss how to best use your package

At Ballan District Health Care Home Care, we know that staying independently and safely at home is important to you and your family. We make sure you have what you need to live independently and keep doing what’s important to you.

We are ready to assist with everyday tasks such as housework, meal preparation, transport and personal care. Our team also includes skilled healthcare professionals to help you to stay safe and well—nurses, occupational therapists, physiotherapists, podiatrists and diversional therapists.

There are no daily fees and only $300 exit fee (from your funding).

Please call ph: 03 53667905 and talk to our dedicated team, we will guide you through the best services your package will fund.",gd_place,publish,BALLAN,6.10354E+11,reception@bdhc.com.au,http://www.ballanhealth.com.au/
5,Benetas Home Care Southern,"Benetas is a leading not-for-profit aged care provider with over 70 years’ experience in aged care. 
As a Home Care Package provider, we never lose sight of what matters most, you. We support you to stay independent and continue doing what makes you, you; all from the familiar surrounds of your own home and community. 
We offer an extensive range of home care services from everyday tasks such as housework and cleaning, to support with dressing, showering, clinical nursing care, transport, shopping, companionship, gardening, equipment and home modifications and more. And rest assured that if your needs change, Benetas will change with you. Whether it is changes to your Home Care services, retirement living or residential aged care, you can continue your journey with us. 
We are your go-to source of advice. We connect you with clear relevant information so you can make informed choices, even before you are a Benetas client. Call 1300 23 63 82 for an obligation-free consultation.",gd_place,publish,FRANKSTON,6.113E+11,customercentre@benetas.com.au,http://www.benetas.com.au/homecare
6,Benetas Home Care East,"Benetas is a leading not-for-profit aged care provider with over 70 years’ experience in aged care. 

As a Home Care Package provider, we never lose sight of what matters most, you. We support you to stay independent and continue doing what makes you, you; all from the familiar surrounds of your own home and community. 

We offer an extensive range of home care services from everyday tasks such as housework and cleaning, to support with dressing, showering, clinical nursing care, transport, shopping, companionship, gardening, equipment and home modifications and more. And rest assured that if your needs change, Benetas will change with you. Whether it is changes to your Home Care services, retirement living or residential aged care, you can continue your journey with us

We are your go-to source of advice. We connect you with clear relevant information so you can make informed choices, even before you are a Benetas client. Call 1300 23 63 82 for an obligation-free consultation.",gd_place,publish,MITCHAM,6.113E+11,customercentre@benetas.com.au,http://www.benetas.com.au/homecare
7,Benetas Home Care Gippsland,"Benetas is a leading not-for-profit aged care provider with over 70 years’ experience in aged care. 
As a Home Care Package provider, we never lose sight of what matters most, you. We support you to stay independent and continue doing what makes you, you; all from the familiar surrounds of your own home and community. 
We offer an extensive range of home care services from everyday tasks such as housework and cleaning, to support with dressing, showering, clinical nursing care, transport, shopping, companionship, gardening, equipment and home modifications and more. And rest assured that if your needs change, Benetas will change with you. Whether it is changes to your Home Care services, retirement living or residential aged care, you can continue your journey with us. 
We are your go-to source of advice. We connect you with clear relevant information so you can make informed choices, even before you are a Benetas client. Call 1300 23 63 82 for an obligation-free consultation.",gd_place,publish,TRARALGON,6.113E+11,customercentre@benetas.com.au,http://www.benetas.com.au/homecare
8,Benetas Home Care Greater North West,"Benetas is a leading not-for-profit aged care provider with over 70 years’ experience in aged care. 
As a Home Care Package provider, we never lose sight of what matters most, you. We support you to stay independent and continue doing what makes you, you; all from the familiar surrounds of your own home and community. 
We offer an extensive range of home care services from everyday tasks such as housework and cleaning, to support with dressing, showering, clinical nursing care, transport, shopping, companionship, gardening, equipment and home modifications and more. And rest assured that if your needs change, Benetas will change with you. Whether it is changes to your Home Care services, retirement living or residential aged care, you can continue your journey with us. 
We are your go-to source of advice. We connect you with clear relevant information so you can make informed choices, even before you are a Benetas client. Call 1300 23 63 82 for an obligation-free consultation.",gd_place,publish,MOOROOPNA,6.113E+11,customercentre@benetas.com.au,http://www.benetas.com.au/homecare
9,Benetas Home Care North West,"Benetas is a leading not-for-profit aged care provider with over 70 years’ experience in aged care. 
As a Home Care Package provider, we never lose sight of what matters most, you. We support you to stay independent and continue doing what makes you, you; all from the familiar surrounds of your own home and community. 
We offer an extensive range of home care services from everyday tasks such as housework and cleaning, to support with dressing, showering, clinical nursing care, transport, shopping, companionship, gardening, equipment and home modifications and more. And rest assured that if your needs change, Benetas will change with you. Whether it is changes to your Home Care services, retirement living or residential aged care, you can continue your journey with us. 
We are your go-to source of advice. We connect you with clear relevant information so you can make informed choices, even before you are a Benetas client. Call 1300 23 63 82 for an obligation-free consultation.",gd_place,publish,BRAYBROOK,6.113E+11,customercentre@benetas.com.au,http://www.benetas.com.au/homecare
10,Bendigo  Community Care Services - Bendigo Health,"Bendigo Health supports people to be active in their community and to live in their own home. We work with you to ensure your choices and needs are met. With Bendigo Health, you choose the services you would like to have. These choices may include help with your home, gardening, transport to social activities and appointments, nursing care or health activities eg exercise classes.",gd_place,publish,BENDIGO,6.10355E+11,cmsintake@bendigohealth.org.au,
